title,year,definition_number,definition,louvain_cluster_convex response,louvain_cluster_convex payoff,louvain_cluster_positive convexity,louvain_cluster_volatility convexity,louvain_cluster_asymmetric response,louvain_cluster_asymmetric gains under stress,louvain_cluster_more upside than downside from shocks,louvain_cluster_spectrum detection via asymmetry,louvain_cluster_upside gain vs degradation,louvain_cluster_performance imbalance under adversity,louvain_cluster_protective robustness,louvain_cluster_withstand,louvain_cluster_protective resilience,louvain_cluster_recovery,louvain_cluster_manage,louvain_cluster_copes,louvain_cluster_iterative learning,louvain_cluster_learn growth,louvain_cluster_learn better,louvain_cluster_internal growth,louvain_cluster_internal better,louvain_cluster_knowledge growth,louvain_cluster_knowledge better,louvain_cluster_adaptive restructuring,louvain_cluster_adapt improve,louvain_cluster_adapt grow,louvain_cluster_flexible improve,louvain_cluster_flexible grow,louvain_cluster_regenerate improve,louvain_cluster_regenerate grow,louvain_cluster_benefit disruption,louvain_cluster_benefit random,louvain_cluster_benefit volatility,louvain_cluster_benefit stress,louvain_cluster_benefit adversity,louvain_cluster_benefit variability,louvain_cluster_benefit crisis,louvain_cluster_benefit disorder,louvain_cluster_benefit shock,louvain_cluster_benefit uncertainty,louvain_cluster_benefit perturbation,louvain_cluster_improve disruption,louvain_cluster_improve random,louvain_cluster_improve volatility,louvain_cluster_improve stress,louvain_cluster_improve adversity,louvain_cluster_improve variability,louvain_cluster_improve crisis,louvain_cluster_improve disorder,louvain_cluster_improve shock,louvain_cluster_improve uncertainty,louvain_cluster_improve perturbation,louvain_cluster_opportunity disruption,louvain_cluster_opportunity random,louvain_cluster_opportunity volatility,louvain_cluster_opportunity stress,louvain_cluster_opportunity adversity,louvain_cluster_opportunity variability,louvain_cluster_opportunity crisis,louvain_cluster_opportunity disorder,louvain_cluster_opportunity shock,louvain_cluster_opportunity uncertainty,louvain_cluster_opportunity perturbation,louvain_cluster_growth disruption,louvain_cluster_growth random,louvain_cluster_growth volatility,louvain_cluster_growth stress,louvain_cluster_growth adversity,louvain_cluster_growth variability,louvain_cluster_growth crisis,louvain_cluster_growth disorder,louvain_cluster_growth shock,louvain_cluster_growth uncertainty,louvain_cluster_growth perturbation,louvain_cluster_profiting disruption,louvain_cluster_profiting random,louvain_cluster_profiting volatility,louvain_cluster_profiting stress,louvain_cluster_profiting adversity,louvain_cluster_profiting variability,louvain_cluster_profiting crisis,louvain_cluster_profiting disorder,louvain_cluster_profiting shock,louvain_cluster_profiting uncertainty,louvain_cluster_profiting perturbation,louvain_cluster_gains disruption,louvain_cluster_gains random,louvain_cluster_gains volatility,louvain_cluster_gains stress,louvain_cluster_gains adversity,louvain_cluster_gains variability,louvain_cluster_gains crisis,louvain_cluster_gains disorder,louvain_cluster_gains shock,louvain_cluster_gains uncertainty,louvain_cluster_gains perturbation,louvain_cluster_thrive disruption,louvain_cluster_thrive random,louvain_cluster_thrive volatility,louvain_cluster_thrive stress,louvain_cluster_thrive adversity,louvain_cluster_thrive variability,louvain_cluster_thrive crisis,louvain_cluster_thrive disorder,louvain_cluster_thrive shock,louvain_cluster_thrive uncertainty,louvain_cluster_thrive perturbation,louvain_cluster_capitalize disruption,louvain_cluster_capitalize random,louvain_cluster_capitalize volatility,louvain_cluster_capitalize stress,louvain_cluster_capitalize adversity,louvain_cluster_capitalize variability,louvain_cluster_capitalize crisis,louvain_cluster_capitalize disorder,louvain_cluster_capitalize shock,louvain_cluster_capitalize uncertainty,louvain_cluster_capitalize perturbation,louvain_cluster_flourish disruption,louvain_cluster_flourish random,louvain_cluster_flourish volatility,louvain_cluster_flourish stress,louvain_cluster_flourish adversity,louvain_cluster_flourish variability,louvain_cluster_flourish crisis,louvain_cluster_flourish disorder,louvain_cluster_flourish shock,louvain_cluster_flourish uncertainty,louvain_cluster_flourish perturbation,louvain_cluster_get better disruption,louvain_cluster_get better random,louvain_cluster_get better volatility,louvain_cluster_get better stress,louvain_cluster_get better adversity,louvain_cluster_get better variability,louvain_cluster_get better crisis,louvain_cluster_get better disorder,louvain_cluster_get better shock,louvain_cluster_get better uncertainty,louvain_cluster_get better perturbation,louvain_cluster_stronger disruption,louvain_cluster_stronger random,louvain_cluster_stronger volatility,louvain_cluster_stronger stress,louvain_cluster_stronger adversity,louvain_cluster_stronger variability,louvain_cluster_stronger crisis,louvain_cluster_stronger disorder,louvain_cluster_stronger shock,louvain_cluster_stronger uncertainty,louvain_cluster_stronger perturbation,louvain_cluster_adapt,louvain_cluster_flexible,louvain_cluster_regenerate,louvain_cluster_more resilient,louvain_cluster_more robust,louvain_cluster_survive,louvain_cluster_increases in resilience,match_convexity,score_convexity,match_asymmetry,score_asymmetry,match_protective_robustness,score_protective_robustness,match_iterative_learning,score_iterative_learning,match_adaptive_restructuring,score_adaptive_restructuring,match_growth_through_disorder,score_growth_through_disorder,match_adaptability-oriented,score_adaptability-oriented,match_resilience-oriented,score_resilience-oriented
THE EFFECT OF DIGITAL GOVERNANCE TO STIMULATE THE ANTIFRAGILE CAPABILITIES OF PUBLIC SECTOR ORGANIZATIONS,2024,2.0,“Antifragile organizations are better prepared to respond to crises and emerge more robust… transforming [risks] into opportunities.”,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,False,0,False,0,True,1,False,0,False,0,True,1,False,0,False,0
"From Industry 4.0 Digital Manufacturing to Industry 5.0 Digital Society: a Roadmap Toward Human-Centric, Sustainable, and Resilient Production",2024,,No definition,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0
"Significant Leap In The Industrial Revolution From Industry 4.0 To Industry 5.0: Needs, Problems, And Driving Forces",2024,,"“Antifragility, a critical characteristic of systems that thrive under stress, shocks, errors, and failures, will play a pivotal role in ensuring adaptability and robustness in the face of global challenges, such as climate change and biodiversity issues.”",1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,False,0,False,0,True,1,False,0,False,0,False,0,False,0,True,1
Data-driven digital transformation and the implications for antifragility in the humanitarian supply chain,2023,,“Antifragility goes beyond resilience by proposing that systems have the potential to not just survive but also flourish and gain advantages from these very disruptions.”,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,False,0,False,0,True,2,False,0,False,0,True,3,False,0,True,2
"Antifragile, sustainable, and agile supply chain network design by considering resiliency, robustness, risk, and environmental requirements",2023,1.0,"“Antifragility is a new concept that designers of SCND increase the capability of facilities to cope with types of disruptions like stressors, fluctuations, volatility, and shocks.” 2. “The resilient policy is flexible against shocks and back to normal mode, but the antifragility concept utilizes disruptions and moves to improvement.”",1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,False,0,False,0,False,0,False,0,False,0,True,4,False,0,False,0
BUILDING SUPPLY CHAIN RESILIENCE AND ANTIFRAGILITY: STRATEGIES AND TECHNOLOGIES FOR MITIGATING DISRUPTIONS,2023,,“Supply chains that are resilient and antifragile—capable of surviving and thriving amid disruptions.”,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,False,0,False,0,True,1,False,0,False,0,True,4,False,0,False,0
"Correction to: Antifragile, sustainable, and agile supply chain network design by considering resiliency, robustness, risk, and environmental requirements",2023,,“The antifragility concept utilizes disruptions and moves to improvement.”,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,False,0,False,0,False,0,False,0,False,0,True,4,False,0,False,0
Thrive during a crisis: the role of digital technologies in fostering antifragility in small and medium-sized enterprises,2023,,"“Antifragility, instead, represents the capability of a system to absorb shocks and get better.”",1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,False,0,True,1,False,0,False,0,False,0,False,0,False,0,False,0
An operationalization of antifragility in inventory management,2023,,"Antifragility refers to a system’s capacity to increase performance when exposed to increasing uncertainty, representing a continuous or bounded function in which gains rise with volatility.",1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,False,0,True,1,False,0,False,0,False,0,False,0,False,0,False,0
Stocks and cryptocurrencies: Antifragile or robust? A novel antifragility measure of the stock and cryptocurrency markets,2023,,"“A system is antifragile when it benefits from noise or disorder. Thus, noise acts as a constructive element that allows the system to perform a function successfully. Therefore, one expects to encounter antifragility in a complex dynamical system that is nonlinear, has many degrees of freedom and is out of equilibrium.”",1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0
Beyond resilience: towards antifragility?,2023,,"“Antifragility is positioned as a progression from robustness and resilience, with a positive end-point. Where robustness ends in failure, and resilience restores the status quo (plus/minus some possible lasting impacts on performance), antifragility theoretically would result in permanent positive improvement and enhanced performance.”",1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,False,0,True,1,True,2,False,0,False,0,False,0,False,0,True,1
Health Service Implementation and Antifragile Characteristics in Rural Communities: A Dirt Research Approach,2023,,"“When programs or units are antifragile, they stand to gain from inevitable volatility rather than be harmed by it.”",1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0
"Analyzing antifragility among smallholder farmers in Bihar, India: An assessment of farmersâ€™ vulnerability and the strengths of positive deviants",2023,,"“A system is antifragile when it gains from disturbances (Taleb, 2012). The average performance of an antifragile system increases as perturbations trigger selection and removal of underperforming system features, while the strongest features survive.”",1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,False,0,True,1,False,0,False,0,False,0,False,0,False,0,False,0
Investigating the interaction of factors for implementing additive manufacturing to build an antifragile supply chain: TISM-MICMAC approach,2022,,"“While a resilient supply chain aims at absorbing shocks, an antifragile supply chain sees these shocks as an opportunity to get stronger and better. An antifragile supply chain does not only respond to disruption but also thrives in it (Taleb, 2012).”",1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0
Provide a Lean and Agile Strategy for an Antifragile Sustainable Supply Chain in the Construction Industry(residential complex),2022,,No definition,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0
"Resilience, robustness, and antifragility: Towards an appreciation of distinct organizational responses to adversity",2022,,"“Organizations can experience three distinct outcomes after facing adversity: (1) performance degradation followed by recovery (i.e., resilience), (2) insensitivity to uncertainty (i.e., robustness), and (3) upside gain (i.e., antifragility).”",1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,False,0,True,1,True,2,False,0,False,0,True,9,False,0,True,2
Enhancing Antifragile Performance of Manufacturing Systems through Predictive Maintenance,2022,,"“Antifragility is the feature of a system that increases in resilience or robustness as a result of the harmful effects of stressful actions: malfunctions, shocks, errors, noise, mistakes, disturbances, attacks, faults, or failures. In other words, some systems (natural or artificial) can improve their performance and become better when subjected to various forms of stress.”",1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,False,0,False,0,True,2,False,0,False,0,False,0,False,0,True,1
Exaptive innovation in constraint-based environments: lessons from COVID-19 crisis,2022,,No definition,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0
Gaining from disorder: Making the case for antifragility in purchasing and supply chain management,2021,,"“Unlike robust or resilient supply chains, the antifragile supply chain ‘loves’ disorder and thrives in the world of randomness. In other words, robust and resilient supply chains are placed on a continuum from the fragile to antifragile supply chain.”",1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,False,0,False,0,True,1,False,0,False,0,True,1,False,0,False,0
Empowering Organisations to Gain From Uncertainty: a Conceptualisation of Antifragility Through Leveraging Organisational Routines in Uncertain Environments,2021,,“The concept of gaining from uncertainty referred to as antifragility.”,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,False,0,False,0,False,0,False,0,False,0,True,8,False,0,False,0
Designing antifragile social-technical information systems in an era of big data,2021,,"Antifragility refers to the design of information systems that leverage uncertainty for gains, shifting design philosophy from preserving function to expanding functionality and performance across a range of uncertain conditions.",1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0
Antifragile philosophy in R&D projects: Applying Q methodology and the possibility of open innovation,2021,,"“The concept of antifragile was created by Nicholas Nasim Taleb in 2012. It is a neologism that Taleb uses to define the opposite to ‘fragile’… the opposite is what not only does not deteriorate, break down and/or collapse but also improves.”",1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0
A managerial operationalization of antifragility and its consequences in supply chains,2020,,"“Antifragility refers to systems that gain from volatility and disorder and show an improvement in performance when subjected to large and seemingly implausible changes in parameters. Antifragility encompasses robustness as it means the ability to recover after a shock, however, with the addition to achieve an even higher performance level afterwards.”",1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,False,0,True,1,True,1,False,0,False,0,False,0,False,0,False,0
Approaches for resilience and antifragility in collaborative business ecosystems,2020,1.0,"“Antifragility – when systems absorb shocks and get better afterward.” (Taleb, 2012; Hespanhol, 2017)",1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,False,0,True,1,True,2,False,0,False,0,True,6,False,0,False,0
Approaches for resilience and antifragility in collaborative business ecosystems,2020,2.0,"“Taleb called it antifragile and introduced the concept of antifragility as a property beyond robustness and resilience.” (Russo & Ciancarini, 2017)",1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,False,0,False,0,True,1,False,0,False,0,False,0,False,0,False,0
